gene,selection_intensity,ci_low_95,ci_high_95
OR13C9,33.9820313346437,5.65051338185486,104.930993267571
TNC,690.639086371335,114.839116976115,2132.58073892742
PAPPA,249.641389082518,41.5101796507294,770.850512355083
TLR4,451.3552394849,75.0510598293974,1393.71168802885
PTGS1,123.956439016538,20.6114158754662,382.757280793376
RC3H2,1602.89008487606,266.527654014198,4949.46406206589
SH2D3C,116.225073325,19.3258473937519,358.883924284701
GOLGA2,322.49707453077,53.6245733672783,995.821749281217
PRDM12,171.101888742984,28.4507316239859,528.334772238885
MED27,258.3260236538,42.9542908218069,797.670379709076
ADAMTSL2,202.66524682961,33.6990722756438,625.797145632495
RXRA,1576.93580564694,262.211999425793,4869.32097395965
KCNT1,240.707560913135,40.0247224728264,743.266032703969
LHX3,956.370562702852,159.02465804947,2953.11616347249
QSOX2,923.414814554652,153.544918483188,2851.35517509881
PNPLA7,272.512998763202,45.3132975179132,841.476629266027
CACNA1B,2336.19090079133,388.460479864946,7213.78178565077
SFMBT2,84.637371711455,14.0734586260086,261.346362573091
ITIH5,265.897234762618,44.2132407652021,821.047756982125
ITIH2,349.729772164401,58.1528931376502,1079.90886324379
GATA3,72.1548400301449,11.997867526161,222.802431983634
SEC61A2,640.637581570032,106.524859860993,1978.18473228161
FAM107B,135.688958419604,22.5622827163307,418.985443692487
ITGA8,536.455568509858,100.659270583078,1587.70223094966
CUBN,1523.84849979803,253.384566158245,4705.40023917841
ST8SIA6,161.11375425439,26.7898994214262,497.49300321845
SLC39A12,240.213636793451,39.9425965074055,741.740505888866
NEBL,214.494712570852,35.6660716862169,662.324540310217
KIAA1217,259.376079180778,43.1289353697436,800.911588865698
GPR158,370.543302933342,61.6137022063619,1144.17967837877
APBB1IP,406.087116880408,67.5239420507806,1253.93114966973
ACBD5,2179.63558613857,362.428584213114,6730.36025257293
ARMC4,556.40039953664,92.5179345911662,1718.07318825142
EPC1,2854.90507234482,474.711898698051,8815.47608407711
ANKRD30A,137.824334321926,22.9173550087687,425.57921265665
ZNF33A,182.183720671291,30.2934114554803,562.553722807225
LINC00999,5686.96398071932,2039.34496339866,12222.9310123724
BMS1,483.419980399955,80.3828201655283,1492.72222197275
ALOX5,141.683515957036,23.5590847471391,437.496047026932
C10orf71,267.597721228764,44.4960113167114,826.298009222747
CHAT,768.732355760369,127.824409483343,2373.72116062016
AGAP7,285.119589857316,47.4095279816243,880.402457068809
A1CF,79.4277354254967,13.2072026944047,245.259867680453
MBL2,58.5570439157518,9.73683239787793,180.814680131978
PCDH15,537.056682467653,89.3014057736774,1658.34346032186
BICC1,244.696865282181,40.6880627692814,755.584225728255
CTNNA3,220.849750015196,36.7227769621875,681.94819331478
MYPN,600.806073390494,99.9016834558415,1855.19294160658
ADAMTS14,2032.17658894106,450.414498273514,5599.61182432832
PLAU,253.298405352826,42.1183152321199,782.14453232264
DLG5,653.641610551081,108.687175266433,2018.33916940194
GRID1,1761.49055342978,292.899555654699,5439.19981915633
SLC16A12,293.282724381383,48.7668736825333,905.608632301373
HTR7,229.452390578375,38.1532225337872,708.511601777114
MYOF,1559.75200781117,259.354458223879,4816.27067424168
PLCE1,199.994533591092,33.2549796854568,617.550778978847
TBC1D12,1105.01852653936,183.741446518952,3412.13576796287
CYP2C19,350.253622079714,58.2399830972371,1081.52637502086
TLL2,49.6788995084084,8.26058050652521,153.400361344204
SLIT1,706.329591681334,117.448082747859,2181.0314065331
HPSE2,297.946789798209,49.5424299562944,920.011401244164
CNNM1,264.281960578956,43.9446580146856,816.059978365235
ABCC2,79.1054580211352,13.1536149726139,244.264709693101
BTRC,789.646839625366,131.302023849634,2438.30270160517
PDCD11,1566.46400619272,260.470690608502,4836.9885513067
CALHM1,123.909048962115,20.603534741107,382.611003800539
WDR96,292.698451995605,48.6696581751513,903.807542231663
SORCS3,384.656848249228,63.9605234185516,1187.75837775546
SORCS1,270.523256077484,44.9824480241418,835.332473296142
GPAM,400.959165436265,66.6709237382958,1238.11346568542
PNLIP,153.297028288012,25.4901436678227,473.356399707693
KCNK18,164.295469961696,27.3189482572755,507.31755038416
PDZD8,1088.02482983855,180.916136010092,3359.64285288569
SEC23IP,2279.03843535766,378.957149476372,7037.30162312781
TACC2,182.644694630497,30.37005706064,563.977364626047
CPXM2,605.946020603578,100.756324700341,1871.06383609966
CHST15,364.374325106188,60.587961039981,1125.12906194925
FAM175B,969.241499467965,161.164883318832,2992.85973882948
TCERG1L,123.125121361858,20.4731832618875,380.190458801015
JAKMIP3,286.875391098457,47.7014716842,885.824388823952
TTC40,197.59591791359,32.8561403560844,610.144190947975
GPR123,100.373818423078,16.6901040910889,309.93805100757
SYCE1,85.4817550942953,14.2138591266566,263.953826280008
FRG2B,645.058741761454,107.259890001916,1991.83270013693
NLRP6,865.744297570482,143.955461175687,2673.27948178925
C11orf35,1204.46094530426,200.277111018579,3719.17794739015
MUC5B,399.278080511713,66.3915838331749,1232.9136758505
TH,785.552537366663,130.62127356973,2425.65799544756
ZNF195,311.591085366397,51.8111939617844,962.142881493105
NUP98,843.890522693768,140.321678250421,2605.79619861751
OR52K1,142.216555763604,23.6477300314211,439.14212280164
C11orf40,492.511449952339,81.8943853381405,1520.79863025378
OR51F1,787.963216609935,131.022099465633,2433.10147140569
OR52R1,65.264677160804,10.8521741030849,201.52682943496
OR51G2,66.4397107672892,11.0475580670917,205.155090408227
OR51G1,56.1054091441577,9.32917604118229,173.244418173108
MMP26,613.045088440942,101.93684354593,1892.98443438438
OR51L1,82.4382586822974,13.7077877273065,254.556023492209
OR52J3,346.460594910421,57.6092784399588,1069.81349518212
OR51V1,105.958494133675,17.6187162902951,327.182632880247
HBB,1946.7937001333,323.711733544289,6011.38360889898
OR51B4,378.476558487147,62.9328858879247,1168.67387824422
OR51Q1,48.4545008594811,8.05698301120479,149.619444084751
TRIM22,1012.40187252164,168.341588973236,3126.13224322353
OR56B1,65.350309552531,10.8664126322585,201.791258825985
OR52N1,200.908534652898,33.4069636355332,620.372863367854
OR56A3,276.789419028431,46.0244020688643,854.680292115146
OR56A1,89.0848838426784,14.8129865558424,275.079649853495
