gene,rate
AC092675.3,2.6602130114728e-06
AC092687.4,2.03943624135956e-06
AC092782.1,5.09658828176542e-06
AC092811.1,1.44924732410633e-06
AC092964.1,1.9206696221476e-06
AC092964.2,2.12634867292851e-06
AC093323.1,7.12712191828854e-07
AC093802.1,4.90941054432788e-06
AC096582.1,1.6909485184058e-06
AC096644.1,5.48390855910396e-06
AC099344.1,1.44618154801447e-06
AC099552.4,5.31849191804467e-06
AC102948.2,5.37988157191523e-06
AC104057.1,1.57233029089037e-06
AC104472.1,1.62399883897192e-06
AC104809.3,1.60889277398319e-06
AC105020.1,9.85179666320482e-07
AC106017.1,1.49231616828307e-06
AC106873.4,3.18652030576014e-06
AC106876.2,2.09945567567764e-06
AC107021.1,3.07363880569353e-06
AC108868.1,7.99157095532056e-06
AC109583.1,1.00682526102931e-06
AC110084.1,1.54539983855664e-06
AC110619.2,1.38901313900167e-06
AC110771.1,7.79272462000782e-07
AC110781.3,1.63374757195024e-06
AC110792.1,1.34669201835247e-06
AC111200.1,5.493982074567e-06
AC112693.2,2.67301331550091e-06
AC112715.2,1.96780034357461e-06
AC112721.1,4.05460328295257e-06
AC114783.1,2.83261217616179e-06
AC116407.2,1.68141396850496e-06
AC117395.1,1.74806790371933e-06
AC121757.1,3.25426035919866e-06
AC126614.1,1.30678644845667e-06
AC127496.1,2.15326539817343e-06
AC131097.4,1.52935421226025e-06
AC131935.1,1.82883327373842e-06
AC132216.1,1.57686394028468e-06
AC132872.2,1.2873398580399e-06
AC135178.1,1.07254789204629e-06
AC135983.2,9.59478688023328e-07
AC136604.1,2.02229273569558e-06
AC137056.1,3.81182105943981e-06
AC138393.1,1.46064597433034e-06
AC138517.1,1.07933777610301e-06
AC138647.1,4.36810294362382e-06
AC138655.1,2.24561715684107e-06
AC139100.2,1.18495874774473e-06
AC139768.1,1.08912939485647e-06
AC140061.12,1.26499250274468e-06
AC140481.2,2.59276993326576e-06
AC142381.1,1.9970137009124e-06
AC144568.2,1.65681711536714e-06
AC145676.2,1.03361897297954e-06
AC187652.1,1.10349298212214e-06
AC226150.4,3.37963422297115e-06
ACAA1,8.96820559452746e-07
ACAA2,1.60820036807777e-06
ACACA,1.40108944580726e-06
ACACB,5.23973430182883e-06
ACAD10,2.10532328211031e-06
ACAD11,1.71562239594161e-06
ACAD8,1.89656755859486e-06
ACAD9,1.23050007916601e-06
ACADL,1.91399168760669e-06
ACADM,2.28623937930497e-06
ACADS,3.26586427612663e-06
ACADSB,2.28775565307424e-06
ACADVL,1.21705583557142e-06
ACAN,4.27246995920902e-06
ACAP1,7.9551277918458e-07
ACAP2,1.43129770984317e-06
ACAP3,1.61472727273215e-06
ACAT1,2.36487537097874e-06
ACAT2,1.96116402846494e-06
ACBD3,9.25551294017094e-07
ACBD4,1.63899949685427e-06
ACBD5,1.64525381014073e-06
ACBD6,2.13718501580585e-06
ACBD7,3.15793311687612e-06
ACCS,2.31621542941882e-06
ACCSL,7.35942242305506e-06
ACD,1.23798796316437e-06
ACE,6.41942433951089e-06
ACE2,2.38629302142027e-06
ACER1,3.32124544027776e-06
ACER2,2.06751211100099e-06
ACER3,2.17897329351421e-06
ACHE,4.16651045399536e-06
ACIN1,1.76472628433917e-06
ACKR2,4.75503869016839e-06
ACKR3,2.73004901047642e-06
ACKR4,1.2575153135232e-06
ACLY,1.96073456674371e-06
ACMSD,3.81734767598515e-06
ACN9,2.0390099181074e-06
ACO1,1.67801650968958e-06
ACO2,3.739762228828e-06
ACOT1,1.01790026553115e-06
ACOT11,4.15037143628802e-06
ACOT12,5.34806031564624e-06
ACOT13,2.03124329664245e-06
ACOT2,7.69540333852917e-07
ACOT4,2.50161613935458e-06
ACOT6,1.15239853153966e-06
ACOT7,3.58302204278836e-06
ACOT8,1.45689763110211e-06
ACOT9,1.64139991663714e-06
ACOX1,1.71993113985714e-06
ACOX2,8.59880742022997e-07
ACOX3,3.24610296927481e-06
ACOXL,2.77330055195729e-06
ACP1,1.87632923488237e-06
ACP2,1.04904531306355e-06
ACP5,2.31345462024613e-06
ACP6,8.81024935367232e-07
ACPL2,2.58199611378216e-06
ACPP,1.44873551204695e-06
ACPT,5.49553544520406e-06
ACR,2.87389673586387e-06
ACRBP,2.07059024296601e-06
ACRC,2.31500609273713e-06
ACRV1,1.65252309790891e-06
ACSBG1,4.01088364001478e-06
ACSBG2,2.59039483655719e-06
ACSF2,1.5725935168624e-06
ACSF3,2.39775501029629e-06
ACSL1,2.73582199799408e-06
ACSL3,8.03807189698816e-07
ACSL4,7.86549501632723e-07
ACSL5,1.2214453365452e-06
ACSL6,2.74950370937879e-06
ACSM1,7.76844169651074e-06
ACSM2A,8.94562758052217e-06
ACSM2B,9.37420347596815e-06
ACSM3,1.40566392145486e-06
ACSM4,2.63774816987289e-06
ACSM5,1.18804679972944e-05
ACSS1,7.75972343185934e-07
ACSS2,2.58147639474755e-06
ACSS3,8.52921695864566e-06
ACTA1,9.16731199979564e-06
ACTA2,3.38852215127438e-06
ACTB,3.44154537412374e-06
ACTBL2,5.68269101739475e-06
ACTC1,6.34970360937987e-06
ACTG1,3.40999986656986e-06
ACTG2,3.37460206810902e-06
ACTL6A,2.10868218924741e-06
ACTL6B,3.23759946538775e-06
ACTL7A,3.88863120410222e-06
ACTL7B,5.91476350848517e-06
ACTL8,4.0635630560183e-06
ACTL9,1.01509156516663e-05
ACTN1,3.08881708056287e-06
ACTN2,1.48043127216529e-05
ACTN4,2.49972211008521e-06
ACTR10,1.00696337631266e-06
ACTR1A,1.59991612720361e-06
ACTR1B,2.32308342036435e-06
ACTR2,1.22463470484786e-06
ACTR3,2.7217391679504e-06
ACTR3B,2.3427712606698e-06
ACTR3C,1.37606474621289e-06
ACTR5,1.199249291556e-06
ACTR6,1.05926238526431e-06
ACTR8,2.30115956486322e-06
ACTRT1,2.02045592661425e-05
ACTRT2,1.18824648454925e-05
ACTRT3,2.76905814858127e-06
ACVR1,2.58418057299523e-06
ACVR1B,2.7760914512146e-06
ACVR1C,4.2074881098757e-06
ACVR2A,9.62163751977607e-07
ACVR2B,1.58288271250492e-06
ACVRL1,4.3099991430592e-06
ACY1,1.37484896905519e-06
ACY3,1.61216846931046e-06
ACYP1,2.30533128524542e-06
ACYP2,2.04250434461001e-06
ADA,4.16370905755081e-06
ADAD1,2.81811541518228e-06
ADAD2,3.32703292416235e-06
ADAL,1.69513565366175e-06
ADAM10,1.31073996087108e-06
ADAM11,5.54350217129032e-06
ADAM12,7.27516537971526e-06
ADAM15,2.58510885745278e-06
ADAM17,1.74158649807136e-06
