gene,rate
ACAD9,8.79733847313455e-07
ACADL,1.30331956685643e-06
ACADM,1.50185006759193e-06
ACADS,2.19349361895237e-06
ACADSB,1.53498994772617e-06
ACADVL,8.56624133267841e-07
ACAN,2.88723052180624e-06
ACAP1,5.90105521428308e-07
ACAP2,1.31773333421889e-06
ACAP3,1.10334086801943e-06
ACAT1,1.5700787644995e-06
ACAT2,1.3180883657787e-06
ACBD3,6.97432421330042e-07
ACBD4,1.5683341411694e-06
ACBD5,1.93496637090611e-06
ACBD6,1.48522738375541e-06
ACBD7,2.19548662249941e-06
ACCS,1.54827550823636e-06
ACCSL,4.60111193202014e-06
ACD,1.17680525615427e-06
ACE,4.22660208898672e-06
ACE2,1.88830267598907e-06
ACER1,2.29260687849653e-06
ACER2,1.445129025978e-06
ACER3,1.52341943249304e-06
ACHE,2.6754068711634e-06
ACIN1,1.32384008965566e-06
ACKR2,3.10057799732315e-06
ACKR3,1.88162375699522e-06
ACKR4,1.44589733912713e-06
ACLY,1.55345605544051e-06
ACMSD,2.51603767327678e-06
ACN9,1.46551940940826e-06
ACO1,1.1240012074297e-06
ACO2,2.72808866892647e-06
ACOT1,7.73078431438181e-07
ACOT11,3.06455588921695e-06
ACOT12,3.35205563770978e-06
ACOT13,1.43106259853085e-06
ACOT2,9.23138307965309e-07
ACOT4,1.69185543498377e-06
ACOT6,8.56463873910559e-07
ACOT7,3.3611645711814e-06
ACOT8,1.43656312178407e-06
ACOT9,1.54826217763821e-06
ACOX1,1.18244611654021e-06
ACOX2,9.85983160258541e-07
ACOX3,2.12942835780112e-06
ACOXL,1.85964606693809e-06
ACP1,1.34611631303365e-06
ACP2,1.65298583839558e-06
ACP5,2.15057255714607e-06
ACP6,6.82211990384212e-07
ACPL2,1.73337095551966e-06
ACPP,1.03762163268458e-06
ACPT,4.08856365142619e-06
ACR,1.9297795842224e-06
ACRBP,1.76466842768583e-06
ACRC,1.56209343153419e-06
ACRV1,1.20770215926391e-06
ACSBG1,2.56526381561457e-06
ACSBG2,2.16107684516539e-06
ACSF2,1.09960098828026e-06
ACSF3,1.61477860090406e-06
ACSL1,2.14950510211781e-06
ACSL3,9.15915020332594e-07
ACSL4,5.85410282242765e-07
ACSL5,1.15832623057598e-06
ACSL6,2.15334144273785e-06
ACSM1,4.86072488053196e-06
ACSM2A,5.53875103407435e-06
ACSM2B,5.78576472794576e-06
ACSM3,9.80851737051997e-07
ACSM4,1.72963687626247e-06
ACSM5,7.7464546223154e-06
ACSS1,1.21985794900789e-06
ACSS2,1.70938572546228e-06
ACSS3,5.3025363443676e-06
ACTA1,5.81629026106577e-06
ACTA2,2.24088612619566e-06
ACTB,2.90116946913213e-06
ACTBL2,3.62722883725357e-06
ACTC1,5.18578552446951e-06
ACTG1,3.46270031002147e-06
ACTG2,2.22580454505828e-06
ACTL6A,1.41910129486516e-06
ACTL6B,2.14382226633298e-06
ACTL7A,3.23537218830433e-06
ACTL7B,3.78255001204888e-06
ACTL8,2.66671850227969e-06
ACTL9,7.72013939810238e-06
ACTN1,1.98712180617354e-06
ACTN2,9.04011324001591e-06
ACTN4,1.9909473834757e-06
ACTR10,1.15846507435166e-06
ACTR1A,1.14764969109671e-06
ACTR1B,2.02803767671209e-06
ACTR2,8.95409348576647e-07
ACTR3,1.78620466954264e-06
ACTR3B,2.00835954095609e-06
ACTR3C,1.05530212947563e-06
ACTR5,8.50327385261871e-07
ACTR6,7.85204757284403e-07
ACTR8,1.53002954025269e-06
ACTRT1,1.31504522519307e-05
ACTRT2,8.26232569218616e-06
ACTRT3,2.60479000521016e-06
ACVR1,1.7236729459571e-06
ACVR1B,1.83583802276708e-06
ACVR1C,3.15810471962893e-06
ACVR2A,7.11962634469597e-07
ACVR2B,1.11356844477036e-06
ACVRL1,3.19606855593559e-06
ACY1,1.32014144579781e-06
ACY3,1.18291233910407e-06
ACYP1,1.60781826991537e-06
ACYP2,1.4481071873627e-06
ADA,2.69939543257711e-06
ADAD1,1.8184875092619e-06
ADAD2,2.51066393274275e-06
ADAL,1.17827478839836e-06
ADAM10,9.05182958790433e-07
ADAM11,3.82571165874579e-06
ADAM12,4.50238001576416e-06
ADAM15,1.93810828391617e-06
ADAM17,1.47744419078879e-06
ADAM18,3.33198955686924e-06
ADAM19,4.03519699788551e-06
ADAM2,5.30334711397161e-06
ADAM20,1.08167907820354e-06
ADAM21,2.19098176886069e-06
ADAM22,1.90990304651843e-06
ADAM23,1.770461133243e-06
ADAM28,1.01857838906025e-06
ADAM29,4.83835206069766e-06
ADAM30,1.9012152561041e-06
ADAM32,2.78205023392373e-06
ADAM33,3.0387453957575e-06
ADAM7,4.05440167185691e-06
ADAM8,6.25386150649685e-07
ADAM9,9.36867244381533e-07
ADAMDEC1,1.79264780008686e-06
ADAMTS1,1.95354628404274e-06
ADAMTS10,1.51062950812507e-06
ADAMTS12,1.16283112265309e-05
ADAMTS13,2.95168027474971e-06
ADAMTS14,3.50711090249242e-06
ADAMTS15,3.76456552888919e-06
ADAMTS16,5.81869803726017e-06
ADAMTS17,2.96235605282723e-06
ADAMTS18,4.57524236829084e-06
ADAMTS19,2.46853414783717e-06
ADAMTS2,3.33404022341586e-06
ADAMTS20,4.72353318961588e-06
ADAMTS3,1.5069950297365e-06
ADAMTS4,2.50492079001229e-06
ADAMTS5,9.88961020495529e-06
ADAMTS6,2.83342395107601e-06
ADAMTS7,2.62921390006023e-06
ADAMTS8,2.88246460913042e-06
ADAMTS9,1.94469443680972e-06
ADAMTSL1,3.56474421567882e-06
ADAMTSL2,2.64134896766105e-06
ADAMTSL3,2.63354131503372e-06
ADAMTSL4,2.09490383465519e-06
ADAMTSL4-AS1,6.59217610522566e-07
ADAMTSL5,1.78276382261782e-06
ADAP1,7.72397822396661e-07
ADAP2,2.29019850301268e-06
ADAR,2.06900007785674e-06
ADARB1,3.71736554776634e-06
ADARB2,3.65994196702385e-06
ADAT1,9.76285280944164e-07
ADAT2,1.64488121488444e-06
ADC,1.1830386852892e-06
ADCK1,3.32184898532363e-06
ADCK2,8.18419709368345e-07
ADCK3,1.73162922134597e-06
ADCK4,2.84471245954684e-06
ADCK5,8.60357906973628e-07
ADCY1,4.80373780015123e-06
ADCY10,1.71133911898283e-06
ADCY2,1.29723578341511e-05
ADCY3,2.43458991972759e-06
ADCY4,3.2091799304362e-06
ADCY5,5.27928419379034e-06
ADCY6,1.75736359305585e-06
ADCY7,1.53441517841745e-06
ADCY8,1.20250490817732e-05
ADCY9,2.45471383356613e-06
ADCYAP1,5.30923104117275e-06
ADCYAP1R1,4.66903202811844e-06
ADD1,1.75442125523856e-06
ADD2,6.86466375979149e-06
ADD3,1.74656068119584e-06
ADGB,9.16608730841831e-07
ADH1A,2.10419943321458e-06
ADH1B,5.15714700030626e-06
ADH4,2.50168666330926e-06
ADH5,7.46706928309262e-07
ADH6,2.47287588083652e-06
ADH7,1.7324076610702e-06
ADHFE1,7.29068446718621e-07
ADI1,2.82605964047659e-06
ADIG,1.70554764857935e-06
ADIPOQ,2.19669937225322e-06
ADIPOR1,1.27703364784287e-06
ADIPOR2,7.92518923169761e-07
ADIRF,1.26483146817483e-06
ADK,5.72518114663832e-07
ADM,2.29149237494612e-06
ADM2,8.39155704288917e-07
ADM5,8.47842286285953e-07
ADNP,1.03683431199254e-06
ADNP2,1.95487612029336e-06
ADO,1.4351220208327e-06
ADORA1,3.44373979036226e-06
ADORA2A,8.70859437567633e-07
ADORA2B,8.73363950096475e-07
ADORA3,1.90659212047488e-06
ADPGK,1.43292639467112e-06
ADPRH,1.70564872074578e-06
ADPRHL1,2.45035486164785e-06
ADPRHL2,1.34300810907356e-06
ADPRM,1.26799353165897e-06
ADRA1A,2.44462185679153e-06
ADRA1B,2.26701090932524e-06
ADRA1D,1.25050492489278e-06
ADRA2A,4.26909372136715e-06
ADRA2B,3.53563262343167e-06
ADRA2C,4.78945164136029e-06
ADRB1,1.36025937294586e-06
ADRB2,1.55429875032632e-06
ADRB3,1.20170225057463e-06
ADRBK1,1.36793857123362e-06
ADRBK2,1.34632218225635e-06
ADRM1,1.44192886933686e-06
ADSL,9.66363121375814e-07
ADSS,1.92818550482851e-06
ADSSL1,2.05614149588956e-06
ADTRP,2.29054650265395e-06
AE000662.92,1.09838180042994e-06
AEBP1,3.14342113561937e-06
AEBP2,1.3088648114133e-06
AEN,1.0440761498407e-06
AES,9.64036923008499e-07
AF131215.5,2.17661668711837e-06
AF165138.7,1.8083183747833e-06
AFAP1,2.03600464658313e-06
AFAP1L1,1.88668726693347e-06
AFAP1L2,1.24565657188685e-06
AFF1,1.87923529060165e-06
AFF2,8.34237952429492e-06
AFF3,3.91553130096906e-06
AFF4,7.21389350402387e-07
AFG3L2,1.48989262956189e-06
AFM,3.48094745159011e-06
AFMID,1.8280424318026e-06
AFP,9.89957092511787e-07
AFTPH,1.73133020141683e-06
AGA,1.6805746085303e-06
AGAP1,2.29020595787624e-06
AGAP10,6.73723180024901e-07
AGAP2,2.39330328533549e-06
AGAP3,3.2630542226272e-06
AGAP4,8.6831104816887e-07
AGAP5,7.80949764537513e-07
AGAP6,1.59858188811796e-06
AGAP7,1.82927599343595e-06
AGAP8,5.81351282191115e-07
AGAP9,6.61510703546826e-07
AGBL1,5.4169490865706e-06
AGBL2,1.3243598362925e-06
AGBL3,6.86477065213095e-07
AGBL4,3.05472455261332e-06
AGBL5,1.43504039631015e-06
AGER,1.3333254830635e-06
AGFG1,2.27989562148728e-06
AGFG2,2.25699429937367e-06
AGGF1,8.42988851124825e-07
AGK,1.59010142370563e-06
AGL,1.33334432942689e-06
AGMAT,1.06761696552779e-06
AGMO,5.4245767095796e-06
AGO1,2.07708959950957e-06
AGO2,2.20788052220582e-06
AGO3,6.87692264877637e-07
AGO4,5.08635877789509e-07
AGPAT1,1.43367668241551e-06
AGPAT2,8.52281932203558e-07
AGPAT3,2.22607939258628e-06
AGPAT4,1.86974591488232e-06
AGPAT5,8.72221348853025e-07
AGPAT6,1.49687592913594e-06
AGPAT9,2.07641513276619e-06
AGPS,2.06712971832546e-06
AGR2,1.01055772650718e-06
AGR3,1.13764423056277e-06
AGRN,1.51180659702619e-06
AGRP,2.51168660496685e-06
AGT,5.49796971127374e-06
AGTPBP1,1.18900829870558e-06
AGTR1,2.83115155418617e-06
AGTR2,1.65143446652367e-06
AGTRAP,8.15932935316961e-07
AGXT,2.12085415436202e-06
AGXT2,1.22092874255093e-06
AHCTF1,1.62156962240926e-06
AHCY,2.80672998092853e-06
AHCYL1,1.82704521668495e-06
AHCYL2,1.25040355828207e-06
AHDC1,1.20720439829434e-06
AHI1,9.94772437023174e-07
AHNAK,2.19091054388398e-06
AHNAK2,4.66822415372616e-06
AHR,2.20659775782059e-06
AHRR,2.62548811634257e-06
AHSA1,6.17481565295297e-07
AHSA2,7.43974197030015e-07
AHSG,5.47678285089698e-06
AHSP,2.48811386039744e-06
AICDA,2.40202436264913e-06
AIDA,1.38345198445786e-06
AIF1,1.45662360095053e-06
AIF1L,1.79571051739746e-06
AIFM1,1.56372598313428e-06
AIFM2,1.12512232912401e-06
AIFM3,1.71109284243401e-06
AIG1,1.61656010572821e-06
AIM1,1.38115329556996e-06
AIM1L,1.59893433356726e-06
AIM2,3.42673216764253e-06
AIMP1,6.19433100158331e-07
AIMP2,1.1795128484778e-06
AIP,8.58209520247471e-07
AIPL1,4.47150672803527e-06
AIRE,4.0908344612326e-06
AJAP1,5.35785233607284e-06
AJUBA,1.31351878625766e-06
AK1,2.10487334613893e-06
AK2,7.5474512470165e-07
AK3,1.74050903084258e-06
AK4,2.03344582059412e-06
AK5,3.35794179975394e-06
AK7,2.65684376650229e-06
AK8,1.30967758172957e-06
AK9,1.21755669124948e-06
AKAP1,1.40669405657942e-06
AKAP10,1.11936932344709e-06
AKAP11,1.02559796385868e-06
AKAP12,2.60144287549253e-06
AKAP13,1.56977979223058e-06
AKAP14,2.03476996217923e-06
AKAP17A,1.33432323675126e-06
AKAP2,1.27071722367388e-06
AKAP3,3.1406991541394e-06
AKAP4,3.89530072068328e-06
AKAP5,1.87329557053953e-06
AKAP6,2.78574992829137e-06
AKAP7,8.53088309730672e-07
AKAP8,2.00924452487409e-06
AKAP8L,1.23624665266315e-06
AKAP9,1.93749120643335e-06
AKIP1,7.9619346876071e-07
AKIRIN1,1.28258651940664e-06
AKIRIN2,1.02639145129592e-06
AKNA,1.80756910941285e-06
AKNAD1,1.79701809910892e-06
AKR1A1,2.49393693592613e-06
AKR1B1,2.63264435257975e-06
AKR1B10,5.02973572312777e-06
AKR1B15,1.68815657641881e-06
AKR1C1,1.48451189560618e-06
AKR1C2,1.02147170556822e-06
AKR1C3,1.04322763811937e-06
AKR1C4,1.45542424107786e-06
AKR1CL1,5.13297266874384e-06
AKR1D1,3.15199749427643e-06
AKR1E2,4.03618897342534e-06
AKR7A2,1.34208857494036e-06
AKR7A3,3.23492437156653e-06
AKT1,5.98050370826937e-07
AKT1S1,9.12039354320603e-07
AKT2,1.71986804530539e-06
AKT3,2.74677999681287e-06
AKTIP,6.99888758794437e-07
AL031320.1,8.10591257274076e-07
AL031590.1,5.15317854711638e-06
AL031663.1,1.3165433509167e-06
AL033381.1,2.20832178396604e-06
AL035588.1,1.44553415774584e-06
AL035681.1,6.02165887570833e-07
AL050302.1,4.38572096355828e-06
AL050303.1,2.348634876545e-06
AL078585.1,1.87953665935947e-06
AL079342.1,2.22389051983968e-06
AL096677.1,9.57412911917406e-07
AL109659.1,1.62813252564215e-06
AL117190.3,2.30944681339446e-06
AL118506.1,7.74428257812033e-07
AL121895.1,7.38498310646616e-07
AL121901.1,1.97301497939524e-06
AL132989.1,9.41980972083514e-07
AL133262.1,8.8935461336471e-07
AL133318.1,1.32031125935961e-06
AL133373.1,1.9175663406495e-06
