gene,selection_intensity,ci_low_95,ci_high_95
CNTNAP2,181.163721878971,30.12381154068,559.403858074201
CUL1,283.795099026385,47.1892546247373,876.314521679359
ZNF777,167.640642171009,27.8751852290716,517.64631589556
ZNF467,374.95287993809,62.3469808345524,1157.79286292065
GIMAP8,360.178211575598,59.8902536830431,1112.17115357165
GIMAP4,242.988861064071,40.4040651518597,750.309819135737
KCNH2,624.873951654902,103.903732800131,1929.50845336978
KMT2C,919.793529230587,152.942837362901,2840.1707573178
DPP6,106.566989527872,17.7199034150331,329.061464481182
PAXIP1,716.058509837745,119.065767930804,2211.07358871418
HTR5A,46.8536551323016,7.79079886829985,144.676361409223
PTPRN2,1020.17183756269,169.633522815668,3150.12123081379
ESYT2,281.2951690293,46.7736164105303,868.593049824474
DLGAP2,78.7826024588639,13.099932482361,243.26770180893
CSMD1,1551.47086892327,257.977779904511,4790.68861249188
DEFA3,181.186660818494,30.1276226416123,559.474882796756
RP1L1,432.244510484106,71.873381486564,1334.70091798903
C8orf74,183.185453137872,30.4599846971552,565.646625397836
SLC35G5,663.833215172236,110.381882365162,2049.80903103234
SGCZ,101.417659757563,16.8636778035757,313.161062952437
DOK2,87.2342506765794,14.5052663799392,269.365097904139
XPO7,77.3098307493189,12.8550396907636,238.720069020462
BMP1,1755.9179073256,436.676206049976,4553.26532461521
ADAM7,200.082657772079,33.2696372513818,617.822688627661
NEFM,355.360958855763,59.0892480832078,1097.29605406242
LEPROTL1,401.952239915492,66.8364271564059,1241.16226359321
TEX15,477.546170274385,79.4061368968052,1474.58421448301
NRG1,767.605164182281,127.63700559961,2370.23881463789
UNC5D,117.110647137788,19.4731021235907,361.618347651062
KCNU1,343.03566848575,57.0397838426384,1059.23857558133
GPR124,307.488889119183,51.1291009083714,949.475055924889
GOT1L1,522.039142487149,86.8044010186117,1611.97127293792
ADAM2,568.396009787789,94.512600167805,1755.11332437807
PLAT,174.205164537071,28.966743599126,537.917137188165
CHRNA6,92.9875067627378,15.4619166302942,287.130109143084
POMK,1140.2254654732,189.596132598042,3520.82866264855
PRKDC,132.312801530545,22.000908897429,408.560094947272
C8orf22,100.579930281848,16.7243793451316,310.574348323222
SNTG1,324.492424679523,53.9564358738249,1001.97940214913
PXDNL,445.00771846498,73.9956547329405,1374.11092715187
ST18,351.587884616911,58.4618158004483,1085.64525395171
CHD7,378.602277608363,62.9537876576748,1169.06221368926
CLVS1,59.6646460195184,9.92100604541545,184.234677366678
PREX2,113.342753916033,18.8465711989234,349.984054178284
PRDM14,1412.66741422212,234.897628822866,4362.08573464448
TRAM1,491.253755134939,81.685363261053,1516.90972499765
RP11-383H13.1,212.320998844678,35.3046316903263,655.612268864702
TRPA1,59.7115816333523,9.92880994651962,184.379631739592
GDAP1,334.8237665395,55.6743163924461,1033.88139026167
CRISPLD1,1078.80453923415,179.38301106364,3331.1696904442
HNF4G,507.231881168497,84.3422265648893,1566.24944399815
ZFHX4,2492.31294786852,424.298309293664,7636.55154893714
PEX2,465.564429830794,77.4138193142847,1437.58666412686
STMN2,93.6823076656123,15.5774457851806,289.27563160602
ZFAND1,623.174470493827,103.621142322143,1924.26091399818
RALYL,432.387375224711,71.8971631715691,1335.14127982951
CNGB3,54.984212601275,9.14274751249511,169.782185087134
DCAF4L2,551.375817639973,91.6824832291309,1702.55839401317
MMP16,1538.66645520601,395.89548549022,4008.26509197562
CALB1,386.943700506422,64.3408023892524,1194.81882095773
RUNX1T1,1767.21274547551,293.851279988995,5456.86158885784
CDH17,533.828826512778,88.764777192405,1648.37639683243
GEM,908.906255564002,151.132452716326,2806.55475948337
KIAA1429,567.782749838726,94.4106291680814,1753.21958493445
ESRP1,2319.23773312263,385.641482608061,7161.42197572207
RGS22,198.152079614091,32.9486277625081,611.861099760541
SNX31,92.3440439213156,15.3549201334321,285.143284929724
