third gene,"(0, 0, 0)","(0, 0, 1)","(0, 1, 0)","(0, 1, 1)","(1, 0, 0)","(1, 0, 1)","(1, 1, 0)","(1, 1, 1)"
OR5M8,455,5,152,3,403,12,106,1
UCHL5,454,6,153,2,407,8,106,1
ARFIP2,458,2,151,4,409,6,104,3
VWDE,456,4,153,2,405,10,106,1
TMEM65,459,1,154,1,413,2,107,0
RHOBTB1,456,4,152,3,406,9,106,1
ZNF679,456,4,153,2,400,15,100,7
CDH2,514,8,218,3,451,41,131,6
ZNF121,458,2,154,1,412,3,106,1
OR2AG2,458,2,153,2,406,9,105,2
UFL1,456,4,153,2,405,10,107,0
RSKR,459,1,155,0,409,6,106,1
LOXL2,459,1,154,1,411,4,103,4
ANKK1,519,4,189,2,441,14,128,3
CASP8,2040,10,1389,7,2009,28,712,13
ZNF146,460,0,154,1,410,5,106,1
VHL,2741,12,2038,7,2774,16,1027,13
MMP3,456,4,155,0,410,5,102,5
UNC5B,450,10,153,2,398,17,104,3
TLR2,465,2,155,3,409,10,106,3
CSMD3,631,79,328,59,485,174,160,60
PELI2,459,1,153,2,410,5,104,3
RXFP2,458,2,152,3,401,14,102,5
ZC3H4,450,10,154,1,410,5,106,1
NAA11,457,3,154,1,405,10,106,1
LRRC39,460,0,154,1,412,3,107,0
OR4A15,450,10,150,5,383,32,99,8
SYBU,457,3,155,0,405,10,105,2
LIN7A,457,3,152,3,406,9,106,1
KCNK2,614,12,317,3,547,29,165,14
C17orf78,460,0,155,0,408,7,107,0
NUP133,455,5,153,2,405,10,103,4
DNAH9,643,36,318,26,540,81,179,24
DHRS9,459,1,153,2,414,1,106,1
CDC14A,620,6,319,1,562,14,176,3
RNF13,460,0,155,0,414,1,106,1
CD47,459,1,154,1,410,5,103,4
EYA4,451,9,150,5,385,30,105,2
KCNJ11,459,1,155,0,409,6,107,0
ELF1,455,5,153,2,408,7,105,2
SKAP1,454,6,155,0,405,10,104,3
OR5P3,457,3,153,2,409,6,105,2
OR5K3,458,2,154,1,402,13,103,4
HIVEP1,453,7,150,5,397,18,103,4
OR4D9,456,4,151,4,401,14,102,5
PGBD1,452,8,151,4,407,8,98,9
PGK1,446,14,144,11,382,33,95,12
KCNG1,455,5,153,2,398,17,103,4
FAM184B,456,4,153,2,412,3,107,0
DNAJB11,454,6,155,0,413,2,105,2
NEUROD1,458,2,153,2,400,15,102,5
NLRP13,450,10,148,7,378,37,102,5
ZNF716,444,16,147,8,388,27,98,9
NANOG,458,2,150,5,411,4,106,1
NSD3,454,6,152,3,406,9,105,2
MRGPRX2,458,2,152,3,410,5,107,0
PPP1R3B,459,1,155,0,414,1,107,0
TMIGD2,457,3,153,2,411,4,105,2
FIG4,454,6,153,2,404,11,104,3
OR51T1,450,10,154,1,402,13,103,4
PPFIA2,619,7,316,4,541,35,169,10
DMKN,458,2,152,3,404,11,105,2
INPP5F,452,8,153,2,408,7,106,1
ACSL6,455,5,150,5,400,15,106,1
DNAJC2,458,2,155,0,409,6,104,3
HNRNPCL1,456,4,153,2,412,3,104,3
SLC6A18,457,3,152,3,391,24,102,5
AFP,454,6,151,4,408,7,107,0
SLC44A3,456,4,154,1,409,6,106,1
TGOLN2,459,1,154,1,414,1,107,0
ST8SIA1,455,5,152,3,406,9,101,6
FCRL6,459,1,154,1,403,12,101,6
KIF1B,649,23,327,14,586,31,192,9
RDH8,456,4,155,0,408,7,104,3
PTPRR,455,5,150,5,392,23,103,4
CYLC1,451,9,145,10,395,20,100,7
GPRC6A,452,8,149,6,390,25,100,7
F11,454,6,155,0,404,11,104,3
CLCN4,452,8,155,0,405,10,104,3
TST,459,1,153,2,412,3,106,1
PTPN6,480,5,194,0,446,6,120,2
CYP7B1,456,4,153,2,409,6,105,2
STRA8,455,5,154,1,406,9,107,0
HTR1E,455,5,150,5,397,18,105,2
OR10H3,457,3,154,1,411,4,105,2
ZNF615,459,1,154,1,405,10,103,4
MGAT5B,451,9,146,9,391,24,99,8
ZNF324,456,4,154,1,415,0,106,1
CAMK1,458,2,154,1,414,1,106,1
AGMAT,459,1,154,1,411,4,106,1
NLRP9,453,7,151,4,404,11,100,7
ADPRH,459,1,154,1,404,11,102,5
RDH13,672,0,340,1,616,1,200,1
FER,517,6,184,7,439,16,128,3
CADM3,450,10,152,3,390,25,100,7
XRCC3,1064,5,629,2,1059,2,376,3
DPPA4,457,3,151,4,407,8,106,1
BTNL8,457,3,153,2,404,11,104,3
USH2A,604,68,291,50,467,150,149,52
IQCD,460,0,155,0,414,1,107,0
GPR37L1,460,0,155,0,414,1,107,0
OR10Q1,454,6,152,3,392,23,102,5
LHX2,458,2,155,0,410,5,106,1
ERAP2,667,5,341,0,610,7,200,1
LMBR1L,459,1,153,2,410,5,107,0
ZNF621,459,1,151,4,408,7,107,0
RORB,670,2,338,3,600,17,200,1
OR51F2,454,6,150,5,404,11,101,6
C12orf42,459,1,155,0,406,9,105,2
CTSH,459,1,155,0,414,1,105,2
PPP2R2B,451,9,154,1,402,13,100,7
ARHGAP9,451,9,151,4,394,21,101,6
ADAM23,660,12,336,5,593,24,194,7
ATP1A2,454,6,150,5,392,23,104,3
SCARF1,460,0,155,0,410,5,106,1
IFIT3,459,1,155,0,413,2,106,1
SLC23A3,453,7,154,1,412,3,107,0
EIF3F,458,2,155,0,410,5,107,0
CPNE3,454,6,152,3,410,5,103,4
UAP1,458,2,155,0,410,5,105,2
MROH7,456,4,151,4,389,26,104,3
RNF130,459,1,155,0,409,6,103,4
OR52N2,453,7,151,4,411,4,100,7
ITGAL,454,6,150,5,397,18,100,7
RSPH4A,460,0,154,1,411,4,106,1
SLC14A2,663,9,338,3,599,18,193,8
EHBP1,454,6,151,4,394,21,102,5
FREM1,446,14,148,7,389,26,96,11
GOLGA3,454,6,152,3,394,21,101,6
DLK1,458,2,151,4,399,16,105,2
MOSPD2,453,7,154,1,406,9,104,3
ABCC10,665,7,338,3,604,13,201,0
KCTD7,670,2,341,0,611,6,201,0
BABAM2,451,9,152,3,404,11,105,2
TPP1,454,6,152,3,412,3,106,1
UGT2B28,453,7,151,4,402,13,99,8
CEP192,450,10,148,7,393,22,103,4
PDE1B,455,5,152,3,403,12,104,3
F7,457,3,153,2,409,6,104,3
LRRC71,459,1,153,2,412,3,106,1
ATG13,457,3,152,3,407,8,106,1
NPY5R,450,10,153,2,406,9,103,4
PABPC1,458,2,155,0,413,2,105,2
PDE3B,451,9,153,2,399,16,98,9
PCDHB11,452,8,143,12,397,18,99,8
IHH,522,1,191,0,453,2,129,2
AGT,459,1,153,2,408,7,106,1
RYR2,586,86,283,58,440,177,149,52
ABLIM3,656,16,337,4,599,18,197,4
NT5C1A,457,3,154,1,406,9,105,2
VN1R2,457,3,149,6,405,10,100,7
TYSND1,458,2,154,1,412,3,106,1
NLRP2,454,6,149,6,388,27,101,6
GABRR1,452,8,154,1,403,12,104,3
CCKAR,456,4,153,2,404,11,104,3
TARS3,454,6,153,2,408,7,105,2
PPP3CC,458,2,155,0,411,4,107,0
PSKH1,458,2,155,0,412,3,106,1
AGMO,445,15,147,8,385,30,103,4
TMEM67,458,2,152,3,401,14,105,2
NIBAN3,454,6,152,3,401,14,105,2
GK5,455,5,155,0,409,6,107,0
VSX2,460,0,154,1,413,2,104,3
SETD1B,456,4,154,1,408,7,106,1
IFT57,459,1,154,1,409,6,107,0
TMEM26,459,1,154,1,408,7,105,2
WDTC1,457,3,155,0,410,5,106,1
MAP4K3,519,4,186,5,438,17,126,5
RBM45,457,3,155,0,406,9,107,0
TMC4,457,3,155,0,402,13,105,2
CDH3,669,3,339,2,608,9,198,3
USP6NL,460,0,155,0,409,6,100,7
PCNX2,453,7,147,8,390,25,97,10
KIF26A,453,7,152,3,400,15,102,5
AGPAT5,460,0,155,0,414,1,107,0
NPY4R,458,2,153,2,413,2,106,1
SCFD2,669,3,335,6,603,14,198,3
NEU2,459,1,154,1,412,3,104,3
SLC8A1,439,21,147,8,365,50,88,19
USP29,445,15,146,9,383,32,99,8
PUM3,459,1,155,0,404,11,106,1
MMP21,458,2,154,1,411,4,106,1
TCIRG1,459,1,153,2,413,2,106,1
KRT24,455,5,155,0,406,9,101,6
PKD2L1,451,9,153,2,405,10,102,5
PYHIN1,452,8,149,6,382,33,101,6
RIOX1,459,1,154,1,410,5,106,1
SMG8,456,4,153,2,406,9,105,2
