gene,rate
ACOX3,9.47552356889291e-07
ACOXL,8.22489017572781e-07
ACP1,6.38988676470954e-07
ACP2,1.19531850007758e-06
ACP5,1.1769878532677e-06
ACP6,8.11442126835023e-07
ACPL2,9.94701917353521e-07
ACPP,8.12467455638545e-07
ACPT,1.64047580577937e-06
ACR,8.72662558958566e-07
ACRBP,9.27073249010326e-07
ACRC,6.11017631949502e-07
ACRV1,8.94910209095457e-07
ACSBG1,1.06750620052912e-06
ACSBG2,1.43416993618247e-06
ACSF2,8.04411086949723e-07
ACSF3,9.11593586173975e-07
ACSL1,1.01717614075095e-06
ACSL3,8.17195625100766e-07
ACSL4,6.84597578033329e-07
ACSL5,9.34396229137685e-07
ACSL6,1.08966638790485e-06
ACSM1,1.05810793058182e-06
ACSM2A,1.46512672829993e-06
ACSM2B,1.54032159888663e-06
ACSM3,7.32261446502846e-07
ACSM4,9.24093048289165e-07
ACSM5,1.15720444280895e-06
ACSS1,1.02022376640382e-06
ACSS2,7.49455840206685e-07
ACSS3,7.49534332585222e-07
ACTA1,1.67546857033983e-06
ACTA2,1.17538865695351e-06
ACTB,1.74122012586467e-06
ACTBL2,1.21090939484097e-06
ACTC1,1.51061261078047e-06
ACTG1,1.91727635660161e-06
ACTG2,1.11359555008801e-06
ACTL6A,6.71581616350713e-07
ACTL6B,1.21704913295229e-06
ACTL7A,1.9703601811636e-06
ACTL7B,1.62030972952155e-06
ACTL8,1.13580654164765e-06
ACTL9,2.50716521787252e-06
ACTN1,1.20297000180512e-06
ACTN2,1.23163259744049e-06
ACTN4,1.57023785931e-06
ACTR10,9.5725311000721e-07
ACTR1A,9.26731569516107e-07
ACTR1B,1.15043510780339e-06
ACTR2,8.46221047961183e-07
ACTR3,8.04826444360025e-07
ACTR3B,9.83291440321871e-07
ACTR3C,1.01711485207229e-06
ACTR5,7.13864007566436e-07
ACTR6,6.85609533566338e-07
ACTR8,7.36860520769844e-07
ACTRT1,2.11401344525215e-06
ACTRT2,2.82748371190183e-06
ACTRT3,8.90510110466012e-07
ACVR1,9.98573107099158e-07
ACVR1B,8.55534390067788e-07
ACVR1C,1.06194842735915e-06
ACVR2A,6.98773550607526e-07
ACVR2B,9.13231587532535e-07
ACVRL1,1.16882527010478e-06
ACY1,9.44822958605633e-07
ACY3,1.15704309934495e-06
ACYP1,7.49941568790755e-07
ACYP2,8.16425406982501e-07
ADA,1.01282812183533e-06
ADAD1,6.57941858535238e-07
ADAD2,1.16237406664242e-06
ADAL,7.369427305278e-07
ADAM10,7.32224987236289e-07
ADAM11,1.14699317469657e-06
ADAM12,1.00142842159621e-06
ADAM15,8.22790542717078e-07
ADAM17,8.90061901958601e-07
ADAM18,1.28455661540134e-06
ADAM19,8.77603215169851e-07
ADAM2,1.14293010189628e-06
ADAM20,8.80222294964991e-07
ADAM21,1.15957990634347e-06
ADAM22,8.37972801405857e-07
ADAM23,9.31222194922654e-07
ADAM28,7.80754561414364e-07
ADAM29,1.24939637317821e-06
ADAM30,7.91402329321745e-07
ADAM32,5.40654922685021e-07
ADAM33,8.47612049256604e-07
ADAM7,1.80622249664932e-06
ADAM8,9.91484250633343e-07
ADAM9,7.99518557119252e-07
ADAMDEC1,8.5221741499904e-07
ADAMTS1,1.06253548244114e-06
ADAMTS10,9.40096223849968e-07
ADAMTS12,1.31252934083119e-06
ADAMTS13,1.12536394467678e-06
ADAMTS14,1.14817580210453e-06
ADAMTS15,1.21959131630799e-06
ADAMTS16,1.21079425779587e-06
ADAMTS17,1.62987206302324e-06
ADAMTS18,1.24943875667933e-06
ADAMTS19,1.02102319270944e-06
ADAMTS2,1.48251896858385e-06
ADAMTS20,1.32415140802845e-06
ADAMTS3,7.68841476650837e-07
ADAMTS4,9.53127109859314e-07
ADAMTS5,2.02000704172153e-06
ADAMTS6,8.18115768873076e-07
ADAMTS7,1.33135559076899e-06
ADAMTS8,1.31711831947922e-06
ADAMTS9,7.21923003137673e-07
ADAMTSL1,1.1921399555342e-06
ADAMTSL2,9.77558364301744e-07
ADAMTSL3,9.57652674728539e-07
ADAMTSL4,6.45591296239974e-07
ADAMTSL4-AS1,6.42700323915582e-07
ADAMTSL5,1.09315409918897e-06
ADAP1,9.72205378887978e-07
ADAP2,1.01027568776502e-06
ADAR,9.9567700031188e-07
ADARB1,1.08598213982923e-06
ADARB2,1.94345228312741e-06
ADAT1,9.16164807245622e-07
ADAT2,8.31497911741998e-07
ADC,9.08174581990584e-07
ADCK1,1.70804682328662e-06
ADCK2,9.76035989268096e-07
ADCK3,9.1254405611906e-07
ADCK4,8.29590142779516e-07
ADCK5,8.33822858805482e-07
ADCY1,1.44560462900379e-06
ADCY10,1.08881819371167e-06
ADCY2,1.71320220685725e-06
ADCY3,1.15822204390711e-06
ADCY4,1.3574614507653e-06
ADCY5,1.46928452735608e-06
ADCY6,1.08733177535174e-06
ADCY7,1.0476947606928e-06
ADCY8,1.87650701144212e-06
ADCY9,1.23790107200997e-06
ADCYAP1,1.80550870791494e-06
ADCYAP1R1,1.23035941659134e-06
ADD1,9.78499057926213e-07
ADD2,1.31075507953679e-06
ADD3,8.86729353723109e-07
ADGB,6.92915583728876e-07
ADH1A,9.16287112269851e-07
ADH1B,8.88971056160497e-07
ADH4,8.66105399038248e-07
ADH5,7.70964402411176e-07
ADH6,9.71287469503934e-07
ADH7,8.06368221936609e-07
ADHFE1,7.13917552566214e-07
ADI1,1.19947653585652e-06
ADIG,8.404773562535e-07
ADIPOQ,1.03247725890375e-06
ADIPOR1,1.03755860895689e-06
ADIPOR2,7.5423563745169e-07
ADIRF,9.38479151292917e-07
ADK,6.76501796873549e-07
ADM,1.18334796401783e-06
ADM2,7.20234642373987e-07
ADM5,7.54784736649309e-07
ADNP,5.74657417658179e-07
ADNP2,8.76499850486299e-07
ADO,1.17776767889158e-06
ADORA1,1.40396746060055e-06
ADORA2A,1.00453236178333e-06
ADORA2B,1.0097558221816e-06
ADORA3,9.84472298803383e-07
ADPGK,7.93477091016898e-07
ADPRH,7.66369927241979e-07
ADPRHL1,9.37758910953989e-07
ADPRHL2,7.77388067467603e-07
ADPRM,7.03353624523469e-07
ADRA1A,1.32291051660782e-06
ADRA1B,1.28409516710313e-06
ADRA1D,1.48624818899163e-06
ADRA2A,1.68015406287352e-06
ADRA2B,1.18505209186335e-06
ADRA2C,1.57346455179391e-06
ADRB1,1.46726258175372e-06
ADRB2,1.14223047373686e-06
ADRB3,1.71147281829795e-06
ADRBK1,1.03696138504006e-06
ADRBK2,8.61221671458552e-07
ADRM1,1.15113045613048e-06
ADSL,7.47675630079562e-07
ADSS,6.54647186257708e-07
ADSSL1,9.64352719894066e-07
ADTRP,1.06994917410368e-06
AE000662.92,9.86964333201639e-07
AEBP1,1.09273617740933e-06
AEBP2,1.0170896452909e-06
AEN,6.9963534288208e-07
AES,1.10301637408633e-06
AF131215.5,1.12048059055955e-06
AF165138.7,1.05159060611193e-06
AFAP1,1.35184639861327e-06
AFAP1L1,1.10143119277043e-06
AFAP1L2,1.24805367479693e-06
AFF1,8.29462455803223e-07
AFF2,9.4895161126726e-07
AFF3,1.28099774087167e-06
AFF4,7.6974845637521e-07
AFG3L2,9.91508328838267e-07
AFM,8.05417716236637e-07
AFMID,8.43233100344007e-07
AFP,6.52358201812988e-07
AFTPH,5.28465770059005e-07
AGA,7.70103535066315e-07
AGAP1,1.06933085644155e-06
AGAP10,8.19715903575521e-07
AGAP2,9.4414448904576e-07
AGAP3,1.22360208558475e-06
AGAP4,6.88725747373881e-07
AGAP5,6.6150207430633e-07
AGAP6,6.51845061237181e-07
AGAP7,8.36041281351386e-07
AGAP8,7.15987204534329e-07
AGAP9,7.98247147291845e-07
AGBL1,1.63764762183714e-06
AGBL2,6.31912538033715e-07
AGBL3,5.70117496230816e-07
AGBL4,1.47984528088416e-06
AGBL5,7.6199727957769e-07
AGER,7.81680568895779e-07
AGFG1,7.11913383916033e-07
AGFG2,7.65300855121558e-07
AGGF1,6.84895367664793e-07
AGK,7.85426377813644e-07
AGL,5.05964857644349e-07
AGMAT,1.10799103386131e-06
AGMO,1.02875344316255e-06
AGO1,1.18974559778579e-06
AGO2,1.1887189847502e-06
AGO3,5.60121478873707e-07
AGO4,6.35290607929732e-07
AGPAT1,9.62832512544844e-07
AGPAT2,1.0934555339449e-06
AGPAT3,1.24338314389776e-06
AGPAT4,1.06853500442386e-06
AGPAT5,8.6383371014269e-07
AGPAT6,1.11180685854202e-06
AGPAT9,8.47811962917505e-07
AGPS,7.77642357311387e-07
AGR2,8.16669773514122e-07
AGR3,6.19671455925511e-07
AGRN,9.27685173187344e-07
AGRP,7.97172731649051e-07
AGT,1.40914957232197e-06
AGTPBP1,6.53458066337272e-07
AGTR1,8.43616576242492e-07
AGTR2,1.08226164112119e-06
AGTRAP,6.96806497683378e-07
AGXT,1.55006551107165e-06
AGXT2,9.57577185135569e-07
AHCTF1,6.41314192151165e-07
AHCY,1.14474213815677e-06
AHCYL1,8.76609735601235e-07
AHCYL2,7.91674832735706e-07
AHDC1,7.37642134325793e-07
AHI1,6.11738719650927e-07
AHNAK,9.79593213420148e-07
AHNAK2,1.84933907569215e-06
AHR,8.00716463075929e-07
AHRR,1.16679489039813e-06
AHSA1,5.79665229630071e-07
AHSA2,5.9414861948947e-07
AHSG,1.11787302399323e-06
AHSP,1.1924207207041e-06
AICDA,2.06732965733401e-06
AIDA,7.81634962712494e-07
AIF1,1.09445783917027e-06
AIF1L,1.13466248094437e-06
AIFM1,7.48542840216841e-07
AIFM2,9.59916178655714e-07
AIFM3,9.06814338708344e-07
AIG1,1.12506600946965e-06
AIM1,6.84882045611197e-07
AIM1L,9.75228087793444e-07
AIM2,8.52032452816546e-07
AIMP1,6.73160526065476e-07
AIMP2,1.14219227351873e-06
AIP,9.34495602352336e-07
AIPL1,1.13892205919315e-06
AIRE,1.15187698272388e-06
AJAP1,2.12215788121461e-06
AJUBA,8.55332780275001e-07
AK1,8.29922609168305e-07
AK2,8.39157978716564e-07
AK3,9.74467210692466e-07
AK4,1.10845147041142e-06
AK5,1.14843916275241e-06
AK7,1.12100062109712e-06
AK8,1.1250870027107e-06
AK9,6.94875341640179e-07
AKAP1,9.65152865226006e-07
AKAP10,7.44291868702723e-07
AKAP11,6.01527909613953e-07
AKAP12,1.12464297395396e-06
AKAP13,7.00411250005234e-07
AKAP14,8.19469017166442e-07
AKAP17A,9.66921288791861e-07
AKAP2,9.66858992516057e-07
AKAP3,1.26351816928884e-06
AKAP4,1.52846514388469e-06
AKAP5,5.77098700511246e-07
AKAP6,1.00913051793249e-06
AKAP7,7.95319076644494e-07
AKAP8,7.73593666529036e-07
AKAP8L,9.2525345793367e-07
AKAP9,8.01107862100827e-07
AKIP1,7.30097881334441e-07
AKIRIN1,1.07304601876224e-06
AKIRIN2,9.43215002340148e-07
AKNA,6.85603900489312e-07
AKNAD1,6.8943309819579e-07
AKR1A1,7.90865357845247e-07
AKR1B1,1.22279532429009e-06
AKR1B10,1.11729705665613e-06
AKR1B15,1.08442281672128e-06
AKR1C1,7.84942118363809e-07
AKR1C2,8.35562319224588e-07
AKR1C3,8.12844357184838e-07
AKR1C4,1.16356876512896e-06
AKR1CL1,1.65555020096349e-06
AKR1D1,1.38076501155794e-06
AKR1E2,1.20858811800099e-06
AKR7A2,1.05126956464145e-06
AKR7A3,1.38289227964876e-06
AKT1,9.84639813344499e-07
AKT1S1,7.31323421965775e-07
AKT2,1.0753987615979e-06
AKT3,7.68643344107075e-07
AKTIP,6.33544828924857e-07
AL031320.1,7.26793680239497e-07
AL031590.1,2.61233621537983e-06
AL031663.1,5.49977877279944e-07
AL033381.1,1.28854636383289e-06
AL035588.1,8.39054619620869e-07
AL035681.1,5.67868511395473e-07
AL050302.1,1.89460018653031e-06
AL050303.1,1.48263917653781e-06
AL078585.1,1.2198168431527e-06
AL079342.1,1.35064849851011e-06
AL096677.1,8.58802054524746e-07
AL109659.1,1.28932182180981e-06
AL117190.3,1.28339231165863e-06
AL118506.1,5.76198290755123e-07
AL121895.1,4.25084674072804e-07
AL121901.1,1.32212254750208e-06
AL132989.1,5.9167692065637e-07
AL133262.1,5.6347692001616e-07
AL133318.1,9.27808069631131e-07
AL133373.1,1.5572478187481e-06
AL133481.1,8.03378368083553e-07
AL135998.1,6.42220045884284e-07
AL136218.1,6.32851113732442e-07
AL136531.1,6.16529798186713e-07
AL137002.1,9.717909187096e-07
AL137026.1,1.3675120260841e-06
AL138764.1,5.37797597602064e-07
AL138815.1,1.73891710720413e-06
AL138815.2,1.64589690696279e-06
AL138847.1,1.0137627194776e-06
AL139080.1,1.14427913248271e-06
AL139147.1,8.75616888205776e-07
AL139333.1,1.1079782783178e-06
AL158091.1,8.41436766512904e-07
AL158147.2,6.56045152086431e-07
AL160175.1,9.07180663725419e-07
AL160274.1,7.10781531151869e-07
AL160286.1,1.24577331601558e-06
AL161450.1,5.1072682652019e-07
AL161645.2,1.27499601936032e-06
AL161915.1,4.60953422101502e-07
AL162389.1,9.98321718726645e-07
AL162424.1,9.01097443139926e-07
AL162431.1,9.80648942691987e-07
AL353354.1,7.87159127551608e-07
AL353583.1,9.62769218921105e-07
AL353608.1,1.16075687053829e-06
AL353698.1,7.2421668384648e-07
AL354718.1,9.55774386214069e-07
AL354808.2,7.45184754510032e-07
AL355390.1,1.59430705188794e-06
AL355490.1,5.93443653486267e-07
AL355531.2,1.48224303594453e-06
AL356215.1,3.07014075790188e-07
AL357673.1,7.46991824146858e-07
